inputtool,outputtools
cutadapt,"chira_collapse,sickle,rna_starsolo,fastq_to_fasta_python,sailfish,bwameth,spades,rna_star,je_demultiplex,fastqc,tophat2,bctools_remove_tail,fastq_stats,flexbar,tp_cat,hisat2,cshl_fastx_reverse_complement,seqtk_sample,snippy,multiqc,fastp,bundle_collection,segemehl,bg_sortmerna,dada2_filterAndTrim,trinity,fastq_paired_end_interlacer,bowtie_wrapper,umi_tools_extract,kallisto_quant,trimmomatic,metaphlan2,cshl_fastx_barcode_splitter,cshl_fastx_trimmer,kallisto_pseudo,unicycler,trinity_align_and_estimate_abundance,__ZIP_COLLECTION__,fastq_paired_end_deinterlacer,fastq_groomer,trim_galore,cshl_fastx_collapser,bowtie2,bwa_mem"
deg_annotate,"tp_sort_header_tool,cat1,sort1,Filter1,join1,Grep1,tp_cat"
peptide_shaker,"tp_replace_in_line,Remove beginning1,tp_easyjoin_tool,ggplot2_point,peptide_shaker,proteomics_moff,FileInfo,uniprot,mz_to_sqlite,query_tabular,Filter1,datamash_ops,unipept,tp_replace_in_column,Show beginning1,regex_replace,MzTabExporter,Grep1"
FileInfo,Remove beginning1
trim_galore,"megahit,cat1,mothur_make_contigs,sample_seqs,bwa_wrapper,fastq_manipulation,__UNZIP_COLLECTION__,extract_bcs.py,fastq_to_fasta_python,cuffdiff,abyss-pe,bwameth,picard_MarkDuplicates,spades,rna_star,fastqc,tophat2,fastq_filter,tp_head_tool,flexbar,tp_cat,__FLATTEN__,disco,hisat2,seqtk_trimfq,bwa,maxbin2,__RELABEL_FROM_FILE__,snippy,multiqc,fastp,CONVERTER_fastqgz_to_fastq,kraken2,shovill,salmon,segemehl,metaspades,fastq_paired_end_interlacer,bowtie_wrapper,umi_tools_extract,kallisto_quant,trimmomatic,bowtie2,cshl_fastx_barcode_splitter,metaphlan2,bismark_bowtie,rbc_mirdeep2_mapper,Show beginning1,fastq_to_tabular,cshl_fastx_trimmer,iuc_pear,unicycler,minimap2,fastq_paired_end_joiner,__ZIP_COLLECTION__,fastq_groomer,vsearch_dereplication,valet,cshl_fastx_collapser,bismark_bowtie2,bg_sortmerna,cshl_fastx_artifacts_filter,bwa_mem,cutadapt"
mothur_rarefaction_single,"collapse_dataset,XY_Plot_1,mothur_summary_single,extract_element_from_collection"
CONVERTER_interval_to_bed12_0,rseqc_junction_annotation
dexseq_count,dexseq
umi_tools_whitelist,"tp_find_and_replace,tp_awk_tool,umi_tools_extract,Summary_Statistics1,Cut1"
umi_tools_extract,"umi_tools_group,hisat2,bwa,fastqc,je_markdupes,rna_star,je_demultiplex,bowtie2,bwa_mem"
mothur_chimera_uchime,"iReport,mothur_remove_seqs,mothur_classify_seqs"
tp_sort_header_tool,"comp1,Paste1,Convert characters1,tp_awk_tool,gops_intersect_1,bedtools_complementbed,Datamash,bedtools_bedtobam,tp_cut_tool,bedtools_mergebed,barchart_gnuplot,Grep1,tp_head_tool,tp_cat,Add_a_column1,DatamashOps,cshl_awk_tool,Summary_Statistics1,Filter1,XY_Plot_1,addValue,datamash_ops,annotatemyids,histogram_rpy,Cut1,deeptools_multi_bigwig_summary,tp_sed_tool,tab2fasta,tp_split_on_column,Grouping1,gd_rank_terms,wig_to_bigWig,tp_grep_tool,Show tail1,Heatmap,blockbuster,sort1,samtools_slice_bam,tp_sorted_uniq,Show beginning1,metilene,tp_easyjoin_tool,cummeRbund,tp_tail_tool,tp_multijoin_tool,join1,fgsea,gops_join_1,bedtools_genomecoveragebed_bedgraph"
__BUILD_LIST__,"hisat2,stringtie_merge,picard_MarkDuplicates,cutadapt,tp_cat"
samtool_filter2,"samtools_fastx,cuffdiff,seq_filter_by_mapping,bamleftalign,tp_awk_tool,peakcalling_macs,samtools_flagstat,picard_MarkDuplicates,tp_cut_tool,stringtie,htseq_count,deeptools_multi_bam_summary,cufflinks,samtools_bedcov,sam_merge2,rseqc_bam_stat,samtools_sort,gatk2_depth_of_coverage,deeptools_bam_pe_fragmentsize,samtools_stats,picard_CollectInsertSizeMetrics,picard_CollectRnaSeqMetrics,multiqc,picard_MarkDuplicatesWithMateCigar,bedtools_bamtofastq,lofreq_viterbi,macs2_callpeak,bedtools_bamtobed,deeptools_plot_fingerprint,picard_CASM,macs2_predictd,freebayes,samtools_rmdup,bam_to_sam,deeptools_bam_coverage,tophat_fusion_post,featurecounts,deeptools_plot_enrichment,bamFilter,bedtools_coveragebed,samtools_idxstats,picard_MergeSamFiles,pipmir"
cufflinks,"Remove beginning1,gtf_filter_by_attribute_values_list,cuffcompare,cuffdiff,featurecounts,cuffquant,htseq-count,feelnc,stringtie_merge,bedtools_getfastabed,snpSift_geneSets,mergeCols1,Filter1,gffcompare,Extract_features1,gffread,__BUILD_LIST__,gffcompare_to_bed,Cut1,cuffmerge"
gtf_filter_by_attribute_values_list,"Extract genomic DNA 1,feelnc,bedtools_getfastabed,Extract_features1,gffread,gffcompare_to_bed"
feelnc,comp1
tab2fasta,"blast_reciprocal_best_hits,rbc_mafft,tp_awk_tool,picard_NormalizeFasta,bg_protein_properties,ncbi_blastp_wrapper,ncbi_makeblastdb,cshl_fasta_formatter,tp_cat,fasta_compute_length,cshl_fastx_reverse_complement,megablast_wrapper,CONVERTER_fasta_to_tabular,fasta_merge_files_and_filter_unique_sequences,infernal_cmsearch,DecoyDatabase,transdecoder,canu,seq_filter_by_id,meme_meme,clustalw,mlocarna,cshl_fastx_barcode_splitter,EMBOSS: transeq101,ncbi_blastn_wrapper,cshl_fasta_nucleotides_changer,Digestor,tp_tail_tool,cshl_fastx_collapser,bowtie2,cd_hit_est"
cd_hit_est,"meme_fimo,ncbi_blastn_wrapper,intarna,blast_reciprocal_best_hits,meme_dreme,fasta2tab,busco,meme_meme,ncbi_blastx_wrapper,maker,infernal_cmsearch,transdecoder,fasta_filter_by_length"
je_clip,"collapse_dataset,hisat2,tp_grep_tool,cshl_fastx_reverse_complement,bowtie2,trim_galore"
bowtie2,"fastq_to_fasta_python,collection_element_identifiers,picard_MarkDuplicates,cufflinks,sam_merge2,rseqc_inner_distance,je_markdupes,deeptools_computeMatrix,gatk2_realigner_target_creator,macs2_callpeak,bedtools_bamtobed,picard_CASM,ococo,samtools_rmdup,bamFilter,umi_tools_dedup,velvetoptimiser,sam_pileup,ngsutils_bam_filter,bwa_mem,spades,rna_star,fastqc,deeptools_multi_bam_summary,bamtools,paralyzer,picard_AddOrReplaceReadGroups,bedtools_intersectbed,picard_FilterSamReads,picard_CollectInsertSizeMetrics,bedtools_genomecoveragebed,salmon,samtools_slice_bam,varscan,deeptools_bamCorrelate,samtools_view,bedtools_multicovtbed,peakachu,macs2_predictd,bam_to_bigwig,tp_sort_header_tool,deeptools_bam_coverage,bedtools_coveragebed,bamCoverage_deepTools,rseqc_infer_experiment,bedtools_genomecoveragebed_bedgraph,seq_filter_by_mapping,picard_BamIndexStats,peakcalling_macs,get_read_pipeline,htseq_count,deeptools_bamFingerprint,umi_tools_group,jbrowse,bwa,samtools_sort,mimodd_varcall,samtools_depth,bundle_collection,trinity,metaphlan2,deeptools_plot_fingerprint,deeptools_computeGCBias,picard_ARRG,featurecounts,deeptools_plot_enrichment,deeptools_compute_gc_bias,htseq-count,samtools_filter,rseqc_bam2wig,metaphlan2_hutlab,samtools_idxstats,picard_MergeSamFiles,deeptools_bam_compare,samtools_fastx,picard_SortSam,cuffdiff,samtool_filter2,basil,naive_variant_caller,samtools_flagstat,diffbind,stringtie,modencode_peakcalling_macs2,samtools_mpileup,hisat2,bamSplit,samtools_stats,multiqc,kraken2,bg_sortmerna,rgPicardMarkDups,humann2,cufflinks_prok,hicexplorer_hicbuildmatrix,freebayes,bam_to_sam,deeptools_bamCoverage,ivar_variants,pilon,deeptools_bamCompare,bam-filter,PicardInsertSize"
transpose,"Remove beginning1,regex1"
regex1,"Remove beginning1,iReport,sixgill_build,raceid_filtnormconf,fastq_to_fasta_python,stoceps_maketablecarrer,tp_sorted_uniq,maker,fasta_merge_files_and_filter_unique_sequences,tp_head_tool"
XY_Plot_1,iReport
seq_filter_by_id,"fasta2tab,fraggenescan,mothur_unique_seqs,wolf_psort,bg_protein_properties,umi_tools_extract,ncbi_blastp_wrapper,interproscan,tmhmm2,humann2,tp_head_tool,tp_cat"
bowtie_wrapper,"sam_merge2,salmon,featurecounts,sam_to_bam,rbc_mirdeep2_mapper,picard_AddOrReplaceReadGroups,samtools_filter,Filter1,samtools_flagstat,picard_FilterSamReads,sam_bw_filter,CONVERTER_sam_to_unsorted_bam,fastqc,htseq_count,tp_cat"
picard_FilterSamReads,"sam_merge2,macs2_callpeak,bam_to_sam"
macs2_callpeak,"cat1,Convert characters1,bed2gff1,tp_awk_tool,gops_intersect_1,diffbind,tp_cut_tool,bedtools_mergebed,chipsequtil_maptoknowngenes,tp_cat,Add_a_column1,gops_concat_1,bedtools_intersectbed,Filter1,Summary_Statistics1,deeptools_computeMatrix,CONVERTER_interval_to_bedstrict_0,bedtools_multiintersectbed,multiqc,macs2_bdgcmp,Cut1,bg_uniq,bundle_collection,wig_to_bigWig,pieplots_macs,sort1,bedtools_getfastabed,deeptools_compute_matrix,Extract genomic DNA 1,tp_easyjoin_tool,tp_sort_header_tool,chipseeker,CONVERTER_bedgraph_to_bigwig,deeptools_plot_enrichment,pygenomeTracks,gops_join_1,CONVERTER_bed_gff_or_vcf_to_bigwig_0"
gops_intersect_1,"cat1,methtools_plot,Paste1,Convert characters1,gops_intersect_1,methtools_dmr,barchart_gnuplot,tp_cat,tp_head_tool,Add_a_column1,gops_concat_1,CONVERTER_interval_to_bed_0,cshl_awk_tool,bedtools_intersectbed,tp_tac,r_correlation_matrix,datamash_ops,gops_subtract_1,Cut1,bg_uniq,Grouping1,sort1,bedtools_getfastabed,Count1,cshl_uniq_tool,Extract genomic DNA 1,tp_sort_header_tool,tp_tail_tool,gops_join_1"
gops_subtract_1,"Extract genomic DNA 1,flanking_features_1,cshl_sort_header,Add_a_column1,gene2exon1,bedtools_getfastabed,cshl_awk_tool,gops_intersect_1,Filter1,Count1,tp_head_tool"
bedtools_getfastabed,"tp_replace_in_line,meme_fimo,Paste1,seq_filter_by_id,meme_meme,tp_tail_tool,meme_chip,transdecoder"
tp_head_tool,"cat1,comp1,Convert characters1,tp_cut_tool,table_compute,rna_star,barchart_gnuplot,openbabel_filter,flexbar_no_split,tp_cat,sklearn_ensemble,collapse_dataset,hisat2,cardinal_mz_images,bedtools_intersectbed,datamash_transpose,addValue,annotatemyids,fasta_filter_by_length,Cut1,tab2fasta,mass_spectrometry_imaging_ion_images,bedtools_getfastabed,meme_chip,hgv_david,tp_easyjoin_tool,tp_tail_tool,join1,trim_galore"
poretools_extract,"fastqc,porechop,nanoplot"
bam_to_sam,"cat1,comp1,cuffdiff,rarefaction_analyzer,tp_awk_tool,racon,random_lines1,picard_SamToFastq,samtools_flagstat,Grep1,cufflinks,htseq_count,snpfinder,PicardASMetrics,paralyzer,samtools_sort,Filter1,Cut1,Grouping1,Count1,deeptools_bam_coverage,resistome_analyzer,sam2interval,featurecounts,sam_bw_filter,subtract_query1"
tp_awk_tool,"gtf_filter_by_attribute_values_list,cat1,comp1,sed_stream_editor,Paste1,tp_awk_tool,random_lines1,gops_intersect_1,preMloc,tp_replace_in_column,table_compute,je_demultiplex,htseq_count,tp_cat,tp_replace_in_line,tp_head_tool,Add_a_column1,rcas,bedtools_sortbed,bedtools_intersectbed,Filter1,__RELABEL_FROM_FILE__,datamash_ops,bedtools_slopbed,tp_sed_tool,bundle_collection,macs2_callpeak,wig_to_bigWig,seq_filter_by_id,sort1,deeptools_compute_matrix,graphprot_predict_profile,flexbardsc,Count1,EMBOSS: transeq101,Show beginning1,EMBOSS: tranalign100,Extract genomic DNA 1,tp_sort_header_tool,sam_to_bam,tp_uniq_tool,bedtools_subtractbed,extract_aln_ends.py,rnafold,bedtools_genomecoveragebed_bedgraph,__MERGE_COLLECTION__,crosscontamination_barcode_filter"
sam_to_bam,"picard_SortSam,cuffdiff,picard_ReorderSam,bamleftalign,peakcalling_macs,samtools_flagstat,CONVERTER_Bam_Bai_0,samtools_mpileup,sam_merge2,bamtools,samtools_sort,bedtools_bamtofastq,pureclip,macs2_callpeak,bedtools_bamtobed,filter,deeptools_compute_matrix,rgPicardMarkDups,freebayes,samtools_rmdup,picard_ARRG,pileometh,deeptools_bam_coverage,umi_tools_dedup,pilon,sam_pileup,samtools_idxstats,ngsutils_bam_filter,bctools_extract_alignment_ends"
umi_tools_dedup,"pureclip,samtools_fastx,bamtools,featurecounts,deeptools_multi_bam_summary,deeptools_compute_gc_bias,htseq_count,samtools_stats,samtools_flagstat,extract_aln_ends.py,ngsutils_bam_filter,piranha,bctools_extract_alignment_ends,peakachu,deeptools_plot_fingerprint,fastqc,umi_tools_count,__MERGE_COLLECTION__"
ngsutils_bam_filter,"cuffdiff,samtool_filter2,picard_ReorderSam,seq_filter_by_mapping,picard_SamToFastq,samtools_flagstat,picard_MarkDuplicates,stringtie,htseq_count,samtools_mpileup,samtools_bedcov,sam_merge2,qualimap_bamqc,bamtools,deeptools_multi_bam_summary,deeptools_plot_coverage,samtools_sort,bedtools_intersectbed,samtools_stats,samtools_depth,picard_FilterSamReads,bedtools_bamtofastq,pureclip,macs2_callpeak,bedtools_bamtobed,deeptools_plot_fingerprint,freebayes,bam_to_sam,deeptools_bam_coverage,ivar_variants,ivar_consensus,rseqc_bam2wig,extract_aln_ends.py,samtools_idxstats,piranha,picard_MergeSamFiles,deeptools_bam_compare"
pureclip,"bedtools_intersectbed,bed2gff1,bedtools_slopbed"
bedtools_slopbed,"Extract genomic DNA 1,tp_awk_tool,rcas,random_lines1,bedtools_getfastabed,bedtools_subtractbed,bedtools_sortbed,bedtools_intersectbed,graphprot_predict_profile,bedtools_genomecoveragebed_bedgraph,bedtools_mergebed,bedtools_genomecoveragebed"
random_lines1,"Extract genomic DNA 1,tp_easyjoin_tool,tab2fasta,cat1,circos,uniprot,bed2gff1,ctb_alignit,tp_cut_tool,fragmenter,Cut1,tp_cat"
Extract genomic DNA 1,"tp_split_on_column,meme_dreme,translate_bed_sequences,fasta2tab,sed_stream_editor,meme_meme,DatamashOps,EMBOSS: geecee41,tp_awk_tool,viennarna_rnafold,fasta_compute_length,meme_chip,graphprot_predict_profile,Filter1,fasta_merge_files_and_filter_unique_sequences,infernal_cmsearch,Show beginning1,fasta_filter_by_length"
rgPicardMarkDups,"deeptools_bamCompare,deeptools_bamFingerprint,deeptools_bamCoverage,macs2_callpeak,featurecounts,samtool_filter2,bamFilter,picard_ReorderSam,deeptools_bamCorrelate,samtools_flagstat,ngsutils_bam_filter,picard_CASM,freebayes,gatk2_haplotype_caller,picard_CollectWgsMetrics,samtools_mpileup"
deeptools_bamCoverage,"deeptools_computeMatrix,CONVERTER_bed_to_gff_0"
deeptools_computeMatrix,"deeptools_heatmapper,deeptools_profiler,Paste1"
__UNZIP_COLLECTION__,"tp_replace_in_line,remove_tail.py,collapse_dataset,bg_sortmerna,extract_bcs.py,umi_tools_extract,bowtie2,seqtk_sample,dada2_dada,dada2_learnErrors,__MERGE_COLLECTION__,rna_star,je_demultiplex,fastqc,multiqc,__APPLY_RULES__,cutadapt,flexbar_no_split"
bctools_remove_tail,rna_star
meme_meme,meme_fimo
abims_xcms_xcmsSet,"quality_metrics,xcms_merge,abims_xcms_group,xcms_export_samplemetadata,query_tabular,xcms_plot_chromatogram"
xcms_merge,"quality_metrics,xcms_plot_chromatogram,abims_xcms_group"
abims_xcms_group,"abims_xcms_fillPeaks,xcms_plot_chromatogram,abims_xcms_retcor"
abims_xcms_fillPeaks,"quality_metrics,Batch_correction,abims_CAMERA_annotateDiffreport"
abims_CAMERA_annotateDiffreport,"quality_metrics,wsdl_hmdb,abims_xcms_summary,Univariate,abims_CAMERA_combinexsAnnos,Batch_correction,Transformation,w4mclassfilter"
Transformation,"quality_metrics,Multivariate,generic_filter"
Multivariate,"query_tabular,Heatmap,generic_filter"
generic_filter,"massbank_ws_searchspectrum,wsdl_hmdb,Add_a_column1,Heatmap,Univariate,Multivariate"
gffread,"antismash,ncbi_blastn_wrapper,chipseeker,busco,fasta2tab,jbrowse,blast_reciprocal_best_hits,glimmer_build-icm,gtftobed12,ncbi_blastp_wrapper,gffcompare,infernal_cmsearch,transdecoder,regex_replace,rna_star,fasta_filter_by_length,glimmer_knowlegde-based,cufflinks,cd_hit_est"
fasta_filter_by_length,"sample_seqs,fasta2tab,ncbi_blastp_wrapper,tmhmm2,quast,collapse_dataset,meme_psp_gen,hisat2,Nucleosome,infernal_cmsearch,transdecoder,tp_sed_tool,viennarna_rnafold,tp_grep_tool,meme_meme,meme_chip,signalp3,EMBOSS: fuzzpro38,cshl_fastx_trimmer,ncbi_blastn_wrapper,mothur_unique_seqs,cshl_fastx_collapser,ncbi_rpsblast_wrapper,bowtie2"
fasta2tab,"comp1,Paste1,sed_stream_editor,Convert characters1,tp_replace_in_column,tp_cut_tool,regex_replace,Grep1,tp_replace_in_line,replace_chromosome_names,Filter1,addValue,Cut1,tab2fasta,Grouping1,find_in_reference,tp_grep_tool,sort1,Count1,Show beginning1,tp_easyjoin_tool,tp_sort_header_tool,tabular_to_fastq,join1"
tp_sed_tool,"snpEff,circgraph,tp_sort_header_tool,tp_find_and_replace,collapse_dataset,__FILTER_FROM_FILE__,tp_grep_tool,sam_to_bam,tp_awk_tool,cshl_fastx_barcode_splitter,mergeCols1,flexbardsc,multiqc,transdecoder,datamash_ops,seqtk_subseq,lastz_wrapper_2,w4mclassfilter,tp_cat"
bctools_extract_alignment_ends,"wc_gnu,tp_awk_tool,bedtools_sortbed,bctools_extract_crosslinked_nucleotides,bctools_remove_spurious_events"
Paste1,"checkFormat,cat1,sklearn_train_test_split,comp1,tp_awk_tool,cor2,random_lines1,tp_replace_in_column,Add_a_column1,Filter1,r_correlation_matrix,Cut1,w4mclassfilter,tp_sed_tool,Show tail1,Heatmap,tp_sorted_uniq,tp_sort_header_tool,tp_tail_tool,mergeCols1,join1,krona-text"
dbbuilder,"tab2fasta,fasta2tab,maxquant,split_file_to_collection,search_gui,CONVERTER_fasta_to_tabular,fasta_merge_files_and_filter_unique_sequences"
search_gui,peptide_shaker
tp_replace_in_column,"snpEff,checkFormat,get_flanks1,Paste1,mass_spectrometry_imaging_classification,gops_intersect_1,circgraph,stringtie,bedtools_intersectbed_bam,regex_replace,Grep1,tp_cat,tp_replace_in_line,ggplot2_point,Add_a_column1,hisat2,CONVERTER_interval_to_bed_0,wc_gnu,cshl_awk_tool,join_files_on_column_fuzzy,bedtools_intersectbed,Filter1,tp_tac,CONVERTER_interval_to_bedstrict_0,tp_unfold_column_tool,addValue,datamash_ops,Cut1,w4mclassfilter,tab2fasta,Grouping1,Show tail1,query_tabular,tp_sorted_uniq,cardinal_classification,tp_easyjoin_tool,tp_sort_header_tool,tp_find_and_replace,featurecounts,cardinal_quality_report,tp_tail_tool,flashlfq,mergeCols1,gffcompare,join1"
bg_uniq,"tp_easyjoin_tool,tp_sort_header_tool,comp1,Add_a_column1,wc_gnu,ctb_compound_convert,goseq,Filter1,deeptools_computeMatrix,join1,Cut1,cardinal_filtering,tp_cat"
FeatureFinderMultiplex,"IDConflictResolver,HighResPrecursorMassCorrector,FileInfo,IDMapper"
bismark_bowtie,"sam_to_bam,samtools_sort,samtools_rmdup,bismark_methylation_extractor"
samtools_sort,"genrich,picard_ValidateSamFile,samtools_markdup,samtool_filter2,varscan_somatic,bed_to_bigwig,bamleftalign,naive_variant_caller,samtools_flagstat,picard_MarkDuplicates,CONVERTER_Bam_Bai_0,stringtie,htseq_count,samtools_mpileup,deeptools_multi_bam_summary,PicardASMetrics,rseqc_bam_stat,deeptools_bamFingerprint,gatk2_unified_genotyper,rseqc_inner_distance,gatk2_depth_of_coverage,je_markdupes,samtools_stats,picard_FilterSamReads,picard_CollectInsertSizeMetrics,bedtools_bamtofastq,macs2_callpeak,bedtools_bamtobed,rseqc_FPKM_count,rgPicardMarkDups,deeptools_plot_fingerprint,freebayes_wrapper,picard_CASM,hicexplorer_hicbuildmatrix,freebayes,picard_FixMateInformation,samtools_rmdup,pileometh,methtools_calling,bam_to_sam,featurecounts,htseq-count,umi_tools_dedup,samtools_filter,rseqc_bam2wig,sam_pileup,samtools_idxstats,rseqc_infer_experiment,picard_EstimateLibraryComplexity,picard_MergeSamFiles,deeptools_bam_compare,PicardInsertSize"
methtools_calling,"Extract genomic DNA 1,cshl_sort_header,cshl_cut_tool,methtools_destrand,sort1,gops_intersect_1,Filter1,CONVERTER_interval_to_bedstrict_0,deeptools_computeMatrix,gops_subtract_1,Cut1,bedtools_genomecoveragebed_bedgraph"
methtools_destrand,"smooth_running_window,CONVERTER_interval_to_bed_0,DatamashOps,Filter1,deeptools_computeMatrix,bedtools_intersectbed_bam,bedtools_genomecoveragebed_bedgraph"
smooth_running_window,"Add_a_column1,DatamashOps,bedtools_intersectbed,Filter1,bedtools_intersectbed_bam,Cut1"
minfi_read450k,"minfi_getbeta,minfi_ppfun,minfi_getsnp,minfi_mset"
minfi_ppfun,minfi_dropsnp
minfi_dropsnp,"minfi_getanno,minfi_getM,minfi_dmp,minfi_dmr,minfi_getbeta,minfi_methcpg"
ctb_opsin,"ctb_ob_svg_depiction,ctb_compound_convert"
ctb_compound_convert,"cat1,prepare_ligand,comp1,ctb_confab,ctb_chemfp_mol2fps,ctb_alignit_create_db,Show beginning1,ctb_subsearch,ctb_multi_obgrep,ctb_shapeit"
ctb_ob_genProp,"ctb_filter,ctb_spectrophore_search"
ctb_filter,"ctb_rdkit_describtors,ctb_np-likeness-calculator,ctb_compound_convert,ctb_silicos_qed,ctb_chemfp_mol2fps"
heatmapper,"Remove beginning1,Cut1"
IDMapper,"MapRTTransformer,FileInfo,IDConflictResolver,ProteinQuantifier,MapAlignerPoseClustering,TextExporter,FileMerger,QCCalculator,MetaProSIP,MzTabExporter,FileFilter,FeatureLinkerUnlabeledQT"
FileMerger,"FileInfo,IDConflictResolver,ProteinQuantifier,IDPosteriorErrorProbability,MzTabExporter"
CONVERTER_Bam_Bai_0,"methtools_calling,samtools_mpileup"
gffcompare,"gtf_filter_by_attribute_values_list,xpath,featurecounts,gff2bed1,gff_filter_by_attribute,Extract_features1,gffread,deg_annotate,Cut1,gffcompare_to_bed,cufflinks,filter_by_fasta_ids"
filtlong,"flye,unicycler,minimap2,fastq_to_fasta_python,racon,miniasm,medaka_consensus,nanoplot,nanopolish_variants,fastqc,canu,meta_flye"
meta_flye,"bandage_info,racon,minimap2,bandage_image"
minimap2,"samtool_filter2,racon,samtools_flagstat,miniasm,cufflinks,samtools_mpileup,bandage_image,rseqc_insertion_profile,htseq_count,rseqc_bam_stat,rseqc_clipping_profile,deeptools_plot_coverage,jbrowse,bedtools_genomecoveragebed_histogram,samtools_sort,rseqc_RNA_fragment_size,samtools_stats,rseqc_junction_saturation,samtools_depth,nanopolish_variants,bedtools_bamtofastq,bedtools_genomecoveragebed,rseqc_geneBody_coverage,rseqc_read_distribution,salmon,samtools_view,rseqc_mismatch_profile,nanoplot,ococo,bam_to_sam,deeptools_bam_coverage,featurecounts,tabular_to_fastq,bamFilter,pilon,rseqc_junction_annotation,ngsutils_bam_filter,rseqc_FPKM_count,bamtools_split"
racon,"augustus,maxbin2,minimap2,jbrowse,abricate,sam_to_bam,prokka,PlasFlow,pilon,medaka_consensus,quast,nanoplot,staramr_search,nanopolish_variants,bandage_image"
spades,"antismash,trnascan,busco,progressivemauve,abricate,mlst,fasta-stats,prokka,staramr_search,PlasFlow,pilon,quast,glimmer_not-knowlegde-based,bandage_info,fasta_filter_by_length,bowtie2,bwa_mem,bandage_image"
meme_fimo,"tp_sorted_uniq,tab2fasta"
vcfallelicprimitives,"snpSift_annotate,vt_normalize,snpEff,snpSift_filter"
snpSift_filter,"cloudmap_variant_discovery_mapping,snpEff,snpSift_annotate,table_annovar,snpSift_geneSets,gemini_load,cshl_word_list_grep,snpSift_extractFields,vcfcombine"
snpSift_annotate,"snpEff,snpSift_filter,gemini_annotate,snpSift_annotate,snpsift_vartype,vcfgenotypes"
sam_merge2,"samtools_markdup,samtool_filter2,naive_variant_caller,samtools_flagstat,picard_MarkDuplicates,fastqc,samtools_bedcov,deeptools_multi_bam_summary,cufflinks,samtools_mpileup,deeptools_plot_coverage,jbrowse,bedtools_genomecoveragebed_histogram,samtools_sort,je_markdupes,samtools_stats,bam2wig,macs2_callpeak,gatk_indel_realigner,macs2_filterdup,freebayes,samtools_rmdup,pileometh,deeptools_alignmentsieve,bam_to_sam,deeptools_bamCoverage,deeptools_bam_coverage,featurecounts,bamFilter,rseqc_bam2wig,bamCoverage_deepTools,samtools_idxstats,methtools_calling,deeptools_bamCompare,deeptools_bam_compare"
flexbar_no_split,"extract_bcs.py,rna_star,remove_tail.py,umi_tools_extract"
extract_bcs.py,"rna_star,merge_pcr_duplicates.py,hisat2,extract_bcs.py,trim_galore,flexbardsc,flexbar_split_RYYR_bcs,convert_bc_to_binary_RY.py,flexbar_split_RR_bcs,secretbt2test,je_demultiplex,bowtie2"
extract_aln_ends.py,"merge_pcr_duplicates.py,wc_gnu,coords2clnt.py,bedtools_genomecoveragebed_bedgraph,rm_spurious_events.py"
merge_pcr_duplicates.py,"tp_awk_tool,bctools_remove_spurious_events,rm_spurious_events.py"
rm_spurious_events.py,"wc_gnu,blockbuster,coords2clnt.py,bedtools_bedtobam,tp_cut_tool,bedtools_genomecoveragebed_bedgraph"
bedtools_genomecoveragebed_bedgraph,"cat1,wig_to_bigWig,CONVERTER_interval_to_bed_0,CONVERTER_interval_to_bgzip_0,Filter1,tp_sed_tool"
meme_dreme,meme_fimo
dexseq_annotate,"cat1,sort1,Filter1,volcanoplot,annotatemyids,Grep1"
cshl_sort_header,"Grouping1,cshl_easyjoin,methtools_plot,methtools_destrand,Filter1,addValue,CONVERTER_bed_gff_or_vcf_to_bigwig_0,bedtools_intersectbed_bam,Cut1,cshl_uniq_tool"
bedtools_intersectbed_bam,"methtools_plot,Paste1,smooth_running_window,methtools_tiling,Datamash,methtools_dmr,Add_a_column1,cshl_cut_tool,methtools_filter,wc_gnu,Filter1,deeptools_computeMatrix,addValue,datamash_ops,r_correlation_matrix,Cut1,Grouping1,gops_cluster_1,sort1,Count1,computeMatrix"
methtools_dmr,"Extract genomic DNA 1,CONVERTER_bed_to_bgzip_0,methtools_plot,gops_intersect_1,Summary_Statistics1,Filter1,deeptools_computeMatrix,CONVERTER_interval_to_bedstrict_0,addValue,CONVERTER_bed_gff_or_vcf_to_bigwig_0,bedtools_intersectbed_bam,Cut1"
mothur_summary_single,"Filter1,mothur_dist_shared,mothur_heatmap_sim"
bwa_mem,"samtools_fastx,picard_SortSam,samtool_filter2,bamleftalign,naive_variant_caller,picard_BamIndexStats,samtools_flagstat,picard_MarkDuplicates,CONVERTER_Bam_Bai_0,fastqc,Grep1,htseq_count,samtools_mpileup,picard_CollectWgsMetrics,sam_merge2,qualimap_bamqc,PicardASMetrics,rseqc_bam_stat,deeptools_plot_coverage,jbrowse,wc_gnu,samtools_sort,picard_AddOrReplaceReadGroups,je_markdupes,bedtools_intersectbed,samtools_stats,samtools_depth,picard_FilterSamReads,picard_MarkDuplicatesWithMateCigar,lofreq_call,Show tail1,CONVERTER_bam_to_coodinate_sorted_bam,samtools_view,rgPicardMarkDups,picard_CASM,hicexplorer_hicbuildmatrix,samtools_fixmate,freebayes,bcftools_mpileup,samtools_rmdup,picard_ARRG,picard_FixMateInformation,bam_to_sam,deeptools_bam_coverage,sam2interval,bamFilter,sam_to_bam,ivar_variants,picard_CleanSam,samtools_filter,ivar_consensus,rseqc_bam2wig,pilon,sam_pileup,samtools_idxstats,ngsutils_bam_filter,picard_MergeSamFiles"
